,App Name,App Rating,Review Count
0,Go Kinetic by Windstream,4.8,58553
1,My altafiber,4.8,4066
2,Spectrum Access: Enabled Media,4.6,120
3,Cox App,4.6,376494
4,My Verizon,4.6,4698161
5,myCricket App,4.5,41700
6,MyDISH Account,4.6,313588
7,T-Mobile,4.8,2414212
8,Xfinity Mobile,4.8,42654
9,Spectrum News: Local Stories,4.7,22371
10,My Spectrum,4.8,1909166
11,My Sprint Mobile,4.5,1047109
12,Verizon My Fios,4.5,252884
13,My CenturyLink,4.4,112600
14,Visible mobile,4.4,66434
15,SpectrumU,4.3,160
16,myAT&amp;T,4.0,3992454
17,Spectrum SportsNet: Live Games,4.6,3871
18,MediacomConnect,3.3,6372
19,MyMetro,2.8,2906
20,MyFrontier,4.4,43314
